id,id2,kttr,rw,cw,idm,mwr,nn,vv,ad,con,cc,pp,pn,asl,pun,mdd,ba,bei
chang,ch1_1,76.78912408,6.31043257,80.40712468,1.622718053,6689.940793,25.39440204,24.17302799,13.58778626,67.53180662,1.017811705,3.816793893,7.430025445,24.87341772,15.48387097,3.16030875,0.203562341,0.050890585
chang,ch1_2,74.5228647,6.45867542,81.22605364,1.034858388,5755.272089,20.89715536,26.75054705,14.38730853,66.63019694,0.601750547,2.242888403,9.792122538,12.18,20.87483759,2.312498085,0.273522976,0.10940919
chang,ch1_3,69.69493514,6.3058329,82.18602207,1.513569937,5394.753225,22.07041513,26.11665791,13.29479769,64.792433,1.050972149,3.993694167,10.93011035,12.35714286,20.44314381,2.316812879,0.472937467,0
chang,ch2_1,55.16054833,7.76632302,78.1443299,1.300479124,6064.114754,24.46735395,25.42955326,11.82130584,66.66666667,0.824742268,3.298969072,7.491408935,13.47222222,18.7150838,2.410457481,0.206185567,0
chang,ch2_2,55.95331094,9.4233474,79.395218,1.053370787,5512.726708,26.70414617,26.00140548,10.82220661,67.53338018,0.562192551,3.302881237,7.378777231,13.54285714,20.02249719,2.330646742,0.210822207,0.140548138
chang,ch2_3,71.78936801,7.94852385,80.24224073,1.055011304,5294.714638,22.02876609,28.46328539,13.17183952,66.69190008,0.454201363,3.330809992,11.12793338,11.9009009,22.29411765,2.299353174,0.378501136,0
chang,ch3_1,54.96624658,7.75906075,76.11026034,2.136317396,7569.198118,27.44897959,26.58163265,11.98979592,70.15306122,0.969387755,2.755102041,5.918367347,16.19008264,17.99916283,2.604883452,0.204081633,0.051020408
chang,ch3_2,65.09899994,7.25893824,80.55254605,1.891891892,6043.676402,23.2936078,24.81040087,12.45937161,64.51787649,0.433369447,4.117009751,10.2383532,11.98701299,19.80886186,2.300064396,0.108342362,0
chang,ch3_3,61.83446537,5.89430894,81.35162602,1.761449421,5653.165227,22.5101626,25.45731707,14.53252033,66.97154472,0.81300813,3.658536585,10.06097561,13.95744681,19.47626841,2.494030291,0,0
chang,ch4_1,51.21377342,12.25369458,74.50738916,1.287553648,6753.087018,32.69704433,21.24384236,11.33004926,69.39655172,1.416256158,2.832512315,8.189655172,18.88372093,19.6039604,2.914662312,0.123152709,0
chang,ch4_2,77.77587668,10.63953488,79.30232558,1.217391304,5269.398178,25.29069767,26.45348837,11.68604651,67.09302326,0.523255814,2.965116279,10.69767442,10.05847953,22.6618705,2.209536529,0.406976744,0
chang,ch4_3,72.71335962,7.02576112,82.529274,0.888265545,4997.992443,23.1381733,24.82435597,11.94379391,63.70023419,0.74941452,3.7470726,11.47540984,15.93283582,18.10510165,2.598645405,0.468384075,0.140515222
chang,ch5_1,68.96579274,6.96296296,82.88888889,1.17820324,5161.003981,21.7037037,27.03703704,13.11111111,65.92592593,0.518518519,2.740740741,10.96296296,10.71428571,22.01039861,2.258149267,0.148148148,0
chang,ch5_2,60.54617648,6.22377622,80.20979021,1.606145251,6381.514541,22.37762238,25.94405594,13.35664336,65.52447552,0.909090909,3.916083916,8.741258741,13.88349515,20.28985507,2.519114051,0.27972028,0
chang,ch5_3,71.05444712,7.17948718,81.34615385,1.264222503,5799.728591,25.51282051,23.78205128,11.6025641,64.23076923,0.641025641,3.269230769,9.423076923,15,19.79434447,2.636444939,0.128205128,0
chang,ch6_1,79.9445105,9.8989899,75.35353535,2.278820375,6703.680867,26.5993266,21.88552189,12.45791246,65.11784512,0.740740741,4.983164983,8.552188552,18.79746835,17.17791411,2.977320866,0.134680135,0
chang,ch6_2,65.4852961,7.86026201,81.51382824,1.230101302,4853.00316,21.32459971,25.83697234,14.48326055,65.64774381,0.873362445,3.347889374,11.5720524,9.608391608,22.76559865,2.189909062,0.218340611,0.072780204
chang,ch6_3,82.3029132,7.19754977,81.24042879,1.524390244,5323.057756,19.29555896,26.72281776,13.62940276,64.08882083,0.918836141,3.522205207,11.02603369,13.46391753,18.73055383,2.417930405,0.229709035,0
chang,ch7_1,62.29803884,7.95124782,78.87405688,1.264367816,6267.895965,25.13058619,27.16192687,10.91120139,68.36912362,0.290191526,2.843876959,8.647707487,9.959537572,22.24729242,2.191413766,0.580383053,0.116076611
chang,ch7_2,64.16562055,7.38544474,82.26415094,1.127214171,4692.916182,21.61725067,27.9245283,12.61455526,65.44474394,0.700808625,2.911051213,10.51212938,9.814814815,22.05882353,2.066007021,0.323450135,0
chang,ch7_3,73.42801986,7.21649485,82.4742268,1.239224138,4874.64269,20.18448182,28.9744981,14.37873033,65.97938144,0.488334238,3.147042865,12.85946826,10.12637363,23.01587302,2.191090686,0.325556158,0.05425936
chang,ch7_4,63.41508941,8.05471125,79.02735562,1.766784452,5811.850689,21.62025316,26.37974684,15.74683544,66.88607595,0.607594937,3.139240506,9.417721519,12.65384615,20.17792155,2.419135949,0.202531646,0.101265823
chang,ch7_5,70.14394148,6.77676538,82.68792711,1.361315939,5005.251069,20.89977221,28.70159453,12.12984055,64.74943052,0.512528474,3.416856492,12.30068337,10.9068323,22.71126761,2.220586173,0.569476082,0
chang,ch8_1,83.69665742,7.33590734,80.11583012,1.920614597,5832.408333,22.32947233,25.03217503,13.38481338,65.37966538,0.900900901,3.346203346,11.58301158,19.67088608,16.22641509,2.88620781,0.514800515,0.128700129
chang,ch8_2,54.89097632,6.83506686,83.13521545,0.88823094,5008.666667,21.17384844,25.70579495,14.7102526,65.52748886,0.668647845,3.640416048,9.881129272,13.73469388,19.25614877,2.511469799,0.371471025,0
chang,ch8_3,63.77565077,9.19618529,80.10899183,1.08401084,5282.287322,24.2506812,26.90735695,13.82833787,68.9373297,0.613079019,3.133514986,7.697547684,15.13402062,18.12604573,2.588130683,0.544959128,0
chang,ch9_1,65.69588847,7.35475896,82.44746601,1.900674433,4931.576384,23.22421248,28.84496603,11.67387276,67.14021001,0.864731316,2.779493515,11.05620754,11.00680272,20.84148728,2.256681223,0.24706609,0.061766523
chang,ch9_2,78.60715956,7.8133478,82.4742268,1.184068891,4732.8093,23.00215983,26.56587473,11.71706263,64.20086393,0.593952484,2.591792657,10.90712743,12.71034483,19.02460457,2.346608093,0.809935205,0.05399568
chang,ch9_3,70.53182936,5.73537763,83.87279955,1.354401806,5239.161446,22.81498297,24.85811578,14.415437,66.34506243,0.964812713,4.086265607,9.761634506,20.47674419,16.81624941,2.871553857,0.340522134,0.056753689
deng,ch1_1,87.94827496,6.57471264,83.63218391,1.240808824,5287.386319,24.55172414,20.55172414,11.81609195,61.88505747,1.195402299,4.873563218,8.413793103,19.59459459,13.92956074,2.890060862,0.229885057,0.045977011
deng,ch1_2,79.33527658,5.32024793,83.93595041,1.28998968,4733.077469,18.75,24.84504132,12.80991736,61.57024793,0.929752066,3.202479339,11.7768595,14.66666667,20,2.596299842,0.361570248,0.20661157
deng,ch1_3,85.54530214,4.6644455,84.38838648,0.808753568,5066.571143,19.80009519,25.41646835,12.85102332,61.92289386,0.999524036,3.331746787,12.70823417,14.29251701,19.34740883,2.510255872,0.333174679,0.285578296
deng,ch2_1,77.91623725,5.63471503,82.44818653,0.906735751,5295.399451,23.63989637,21.43782383,10.0388601,60.62176166,1.03626943,4.339378238,7.836787565,15.28712871,17.95961743,2.562642138,0.388601036,0
deng,ch2_2,75.85386855,6.65362035,83.30071755,0.782778865,4828.113906,23.48336595,22.63535551,10.17612524,60.46966732,1.304631442,3.392041748,10.11089367,15.17821782,18.37060703,2.533398287,0.587084149,0.065231572
deng,ch2_3,83.57799481,6.54490107,83.25722983,0.53070508,4880.414495,21.46118721,25.87519026,12.40487062,62.48097412,0.913242009,3.729071537,11.94824962,13.27272727,21.08108108,2.49556821,0.456621005,0.228310502
deng,ch3_1,66.92531053,8.23648307,81.3542193,1.667508843,5772.84196,23.74936837,22.68822638,12.17786761,62.96109146,1.667508843,4.143506822,8.034360788,16.49166667,16.60345554,2.688224251,0.101061142,0.202122284
deng,ch3_2,74.9723506,6.90771722,83.9719374,0.917431193,5087.695652,21.69454938,24.87857528,11.54883972,62.97895305,1.079330815,4.587155963,11.6567728,12.95804196,18.97682554,2.460535825,0.269832704,0.107933081
deng,ch3_3,82.08209647,6.18004866,85.30413625,1.213003396,4399.33973,20,24.81751825,13.04136253,62.48175182,0.97323601,3.795620438,9.781021898,14.89130435,17.17049577,2.526294128,0.194647202,0.291970803
deng,ch4_1,74.80980051,11.18012422,79.16431395,0.959909656,4963.522568,29.47487295,19.42405421,9.994353473,63.41050254,2.258610954,4.234895539,9.147374365,16.55140187,16.61958569,2.907125222,0.056465274,0.225861095
deng,ch4_2,82.62171728,8.00681431,83.98637138,1.077708452,4166.539506,23.22544009,25.09937535,9.937535491,62.18057922,0.511073254,3.747870528,12.15218626,12.40140845,21.83754993,2.387898804,0.454287337,0
deng,ch4_3,76.04374341,7.71456123,83.22082932,0.721847931,4620.396029,21.64898746,24.10800386,11.81292189,60.89681774,0.723240116,4.43587271,12.34329797,16.46031746,17.17252396,2.715343174,0.337512054,0.144648023
deng,ch5_1,80.36980689,6.08760208,85.8203415,0.964391691,4103.203953,20.19302153,25.68671121,12.02672606,62.43504083,0.816629547,2.96956199,12.02672606,11.51282051,21.59487776,2.322834782,0.296956199,0.07423905
deng,ch5_2,75.57309016,6.51130912,84.03015764,1.576422207,4873.333578,21.11034955,24.60589445,12.95407814,62.7141878,0.822481151,3.906785469,10.96641535,13.8952381,18.49162011,2.574369214,0.274160384,0.068540096
deng,ch5_3,83.26764399,6.59898477,82.23350254,1.138519924,5510.247962,23.60406091,22.39847716,10.78680203,61.73857868,1.14213198,4.060913706,10.34263959,17.13043478,18.08731809,2.87044094,0.19035533,0.063451777
deng,ch6_1,94.03032107,7.9035499,80.91091762,1.40562249,5480.391273,24.4474213,21.29939719,11.25251172,61.08506363,0.870730074,4.554588078,9.243134628,18.89873418,14.88027366,3.004530251,0.334896182,0
deng,ch6_2,73.45250189,6.85714286,84.78571429,0.92724679,3974.667945,20,24.35714286,13.78571429,61.42857143,1.428571429,3.714285714,13.71428571,11.76470588,22.60917634,2.412903554,0.428571429,0.142857143
deng,ch6_3,91.95719382,5.50879878,83.1675593,1.757066463,5325.959514,18.82172915,24.94261668,12.62433053,61.36189748,1.147666412,3.9020658,11.24713083,15.93902439,17.90201005,2.691237853,0.229533282,0.153022188
deng,ch7_1,72.7325096,7.40305523,81.02232667,0.700116686,5328.304569,23.91304348,24.79435958,11.75088132,65.04112808,0.646298472,3.349001175,10.39952996,10.98064516,21.9266055,2.335059555,0.587544066,0.17626322
deng,ch7_2,68.90043219,8.28337875,82.07084469,1.033732318,4518.720143,21.79836512,26.15803815,11.17166213,62.61580381,1.198910082,3.705722071,11.28065395,11.46875,21.68160478,2.276368098,0.490463215,0.054495913
deng,ch7_3,78.50012115,7.39056282,83.62706083,0.907543959,4167.209945,18.06818182,26.76136364,13.75,61.93181818,0.965909091,2.897727273,14.48863636,10.92546584,23.2547993,2.284349955,0.625,0.113636364
deng,ch7_4,74.13748867,7,82.45,1.098352471,4761.212903,20.05,24.95,13.35,62.55,1.1,3.8,11.05,13.33333333,18.92987434,2.487631695,0.4,0.15
