"deng" "lijc" "lijh" "kao" "su" "wang" "wu" "yao" "chang"
"多" 0.0816879520232711 0.124583825582644 0.0947886016706491 0.0909788251244269 0.0856164383561644 0.0928471949433989 0.0807284333051723 0.0795294813938004 0.115116631323841
"一会儿" 0.117550955350561 0.0859198797121684 0 0.124872897229606 0.125692218012241 0.0839195800449952 0.0826058387308739 0.149811348672043 0.0545289306270827
"住" 0.0737183957283178 0.0966598646761894 0.0928138391358439 0.123088998697754 0.0783299329641504 0.0821340570653144 0.0750962170280672 0.0832285270400237 0.105018681207715
"带" 0.0816879520232711 0.105251852647406 0.0849147889966232 0.0802754339333179 0.0564704167881084 0.144627361354141 0.0600769736224538 0.061034253162684 0.127234171463193
"种" 0.0836803410970094 0.0601439157985179 0.0513438259049349 0.105250013379239 0.176697755756339 0.0482091204513802 0.118276541819206 0.110971369386698 0.0161567201858023
"太太" 0.0796955629495328 0.0859198797121684 0.0947886016706491 0.0749237383377633 0.0619352958321189 0.107131378780845 0.0826058387308739 0.0795294813938004 0.113097041300616
"却" 0.111573788129346 0.0257759639136505 0.0493690633701297 0.0249745794459211 0.118405712620227 0.151769453272864 0.0844832441565756 0.0776799585706888 0.123194991416742
"下午" 0.0876651192444861 0.0880678767049726 0.0888643140662335 0.0874110280607239 0.0856164383561644 0.0767774881262722 0.0901154604336807 0.0961751868018051 0.0666464707664344
"地方" 0.0796955629495328 0.0601439157985179 0.0908390766010387 0.110601708974794 0.0674001748761294 0.0696353962075492 0.112644325542101 0.0924761411555819 0.0686660607896597
"那些" 0.0896575083182244 0.0343679518848674 0.148107190110389 0.0303262750414756 0.129335470708248 0.0892761489840374 0.108889514690697 0.0869275726862469 0.0161567201858023
"叫" 0.0677412285071029 0.0880678767049726 0.0473943008353246 0.126656795761457 0.0728650539201399 0.0803485340856337 0.0750962170280672 0.10172375527114 0.0686660607896597
"怎么" 0.0796955629495328 0.0665879067769305 0.0967633642054543 0.0517330574236937 0.0837948120081609 0.0857051030246759 0.0675865953252605 0.0832285270400237 0.121175401393517
"眼睛" 0.0737183957283178 0.0837718827193642 0.0849147889966232 0.0677881442103573 0.120227338968231 0.0446380744920187 0.0901154604336807 0.114670415032922 0.0504897505806321
"贝克" 0.0836803410970094 0.0880678767049726 0.0789905013922076 0.0784915354014664 0.0819731856601574 0.0732064421669107 0.0807284333051723 0.0758304357475771 0.0868423709986873
"最" 0.0876651192444861 0.107399849640211 0.0987381267402595 0.0838432309970209 0.0582920431361119 0.0821340570653144 0.0788510278794706 0.0647332988089073 0.0686660607896597
"真" 0.0816879520232711 0.0644399097841263 0.0809652639270128 0.0891949265925754 0.0546487904401049 0.0874906260043567 0.107012109264996 0.061034253162684 0.0969403211148137
"看见" 0.0697336175808412 0.109547846633015 0.0612176385789609 0.133792389888863 0.163946371320315 0.0249973217155305 0.0619543790481554 0.0517866390471258 0.0403918004645057
"你们" 0.0876651192444861 0.0773278917409516 0.0770157388574024 0.0588686515510998 0.0892596910521714 0.0910616719637182 0.0863606495822773 0.0850780498631353 0.0666464707664344
"它" 0.135482457014206 0.0579959188057137 0.189577203341298 0.0196228838503666 0.0674001748761294 0.014284183837446 0.112644325542101 0.125767551971591 0
"件" 0.0777031738757945 0.0945118676833852 0.0631924011137661 0.0856271295288724 0.0601136694841154 0.0999892868621219 0.0919928658593823 0.0887770955093586 0.0504897505806321
"过去" 0.0617640612858879 0.0880678767049726 0.0651671636485713 0.0767076368696149 0.153016613232294 0.0785630111059529 0.0657091898995588 0.0536361618702375 0.0646268807432091
"下来" 0.0956346755394393 0.0687359037697347 0.0710914512529868 0.0963305207199815 0.0892596910521714 0.0482091204513802 0.0807284333051723 0.0850780498631353 0.0747248308593356
"之后" 0.103604231834393 0.124583825582644 0.140208139971168 0.0909788251244269 0.0273243952200525 0.0660643502481877 0.0713414061766638 0.0628837759857957 0.0323134403716046
"并" 0.0816879520232711 0.0322199548920632 0.0987381267402595 0.112385607506645 0.014573010784028 0.0767774881262722 0.142682812353328 0.114670415032922 0.0262546703019287
"突然" 0.123528122571776 0.0128879819568253 0.114536227018701 0.0160550867866636 0.0856164383561644 0.0874906260043567 0.0750962170280672 0.0869275726862469 0.0929011410683631
"离开" 0.101611842760654 0.111695843625819 0.082940026461818 0.0570847530192483 0.0765083066161469 0.0624933042888262 0.0732188116023655 0.0795294813938004 0.0545289306270827
"可是" 0.0398477814747664 0.0128879819568253 0.0434447757657142 0.203364432631072 0.0346109006120665 0.0589222583294647 0.152069839481836 0.0869275726862469 0.0363526204180551
"这里" 0.0418401705485047 0.0579959188057137 0.10663717687948 0.0767076368696149 0.0965461964441854 0.0785630111059529 0.0581995681967521 0.0850780498631353 0.0828031909522367
"房子" 0.0876651192444861 0.0536999248201053 0.0967633642054543 0.0784915354014664 0.0601136694841154 0.0678498732278684 0.103257298413592 0.10172375527114 0.028274260325154
"穿" 0.0777031738757945 0.0880678767049726 0.0789905013922076 0.0713559412740603 0.0710434275721364 0.0642788272685069 0.0844832441565756 0.0832285270400237 0.0626072907199838
"太" 0.0856727301707477 0.100955858661798 0.0868895515314283 0.0820593324651694 0.018216263480035 0.0767774881262722 0.0581995681967521 0.0684323444551306 0.10299909118449
"更" 0.0876651192444861 0.100955858661798 0.0592428760441557 0.0606525500829513 0.0783299329641504 0.0589222583294647 0.0694640007509622 0.081379004216912 0.0767444208825608
"纽约" 0.0757107848020561 0.0730318977553431 0.0770157388574024 0.0749237383377633 0.0674001748761294 0.049994643431061 0.0694640007509622 0.0684323444551306 0.111077451277391
"辆" 0.0976270646131777 0.0730318977553431 0.0691166887181816 0.0321101735733271 0.0947245700961819 0.0607077813091454 0.105134703839294 0.10172375527114 0.0201959002322529
"呢" 0.0697336175808412 0.0279239609064547 0.118485752088311 0.0535169559555453 0.134800349752259 0.0553512123701032 0.0450577302168403 0.061034253162684 0.0868423709986873
"认识" 0.0737183957283178 0.0902158736977768 0.0868895515314283 0.0499491588918422 0.0765083066161469 0.0839195800449952 0.0732188116023655 0.0647332988089073 0.0585681106735333
"仿佛" 0.0677412285071029 0.152507786489099 0.082940026461818 0.00356779706370302 0.116584086272224 0 0.135173190650521 0.105422800917363 0
"后来" 0.0518021159171963 0.0236279669208463 0.0710914512529868 0.107033911911091 0.0418974060040804 0.0946327179230797 0.0919928658593823 0.0721313901013538 0.0828031909522367
"可" 0.107589009981869 0.0536999248201053 0.0454195383005194 0.0660042456785058 0.0746866802681434 0.049994643431061 0.0957476767107857 0.0721313901013538 0.0807836009290114
"声" 0.0717260066545795 0.0751798947481473 0.0375204881612986 0.0731398398059118 0.0783299329641504 0.0732064421669107 0.0675865953252605 0.0906266183324702 0.0767444208825608
"往" 0.055786894064673 0.12243582858984 0.041470013230909 0.0624364486148028 0.0455406587000874 0.0821340570653144 0.0506899464939454 0.0869275726862469 0.105018681207715
"眼" 0.0757107848020561 0.0644399097841263 0.041470013230909 0.098114419251833 0.0674001748761294 0.0678498732278684 0.0694640007509622 0.0647332988089073 0.0949207310915884
"大家" 0.0318782251798131 0.0601439157985179 0.0849147889966232 0.135576288420715 0.0437190323520839 0.0607077813091454 0.0694640007509622 0.0628837759857957 0.0868423709986873
"小姐" 0.0677412285071029 0.0730318977553431 0.0691166887181816 0.0767076368696149 0.0674001748761294 0.0660643502481877 0.0713414061766638 0.0647332988089073 0.0828031909522367
