id,id2,word_count
wu,ch6_2,1476
wu,ch6_3,1453
wu,ch7_1,1822
wu,ch7_2,1993
wu,ch7_3,1821
wu,ch7_4,2090
wu,ch7_5,1947
wu,ch8_1,1710
wu,ch8_2,1478
wu,ch8_3,1585
wu,ch9_1,1852
wu,ch9_2,1928
wu,ch9_3,1894
wu,average,1818
,,
yao,ch1_1,2293
yao,ch1_2,2105
yao,ch1_3,2208
yao,ch2_1,1652
yao,ch2_2,1610
yao,ch2_3,1498
yao,ch3_1,2121
yao,ch3_2,2055
yao,ch3_3,2228
yao,ch4_1,1876
yao,ch4_2,1904
yao,ch4_3,2194
yao,ch5_1,1543
yao,ch5_2,1458
yao,ch5_3,1666
yao,ch6_1,1608
yao,ch6_2,1497
yao,ch6_3,1453
yao,ch7_1,1855
yao,ch7_2,1998
yao,ch7_3,1838
yao,ch7_4,2127
yao,ch7_5,1985
yao,ch8_1,1776
yao,ch8_2,1494
yao,ch8_3,1630
yao,ch9_1,1873
yao,ch9_2,1970
yao,ch9_3,1939
yao,average,1843
