x,y
安和乐利,0.666798553334741
安魂定魄,0.555555556
安家乐业,0.555555556
安静,0.324648582100104
安静下来,-0.045528915
安居,0.555555556
安居乐业,0.555555556
安康,0.38055526208327
安可,0.581129359234881
安澜,0.333333333
安老怀少,0.555555556
安乐,0.512628285749439
安乐窝,0.333333333
安了心,0.517218055875386
安良除暴,0.555555556
安谧,0.333333333
安眠,0.555555556
安命,0.369620648923081
安内攘外,0.555555556
安宁,0.459432736555736
安贫乐道,0.333333333
安全,0.333333333
安全产品,0.399511948367614
安全防御,0.319140480617012
安全改进,0.525168075084948
安全感,0.546177563463773
安全利益,0.473899522034184
安全突破,0.0857129611883832
安全网,0.35129526577485
安全又新,0.391534642800309
安然,0.497202936337904
安然举首,0.777777778
安然无事,0.777777778
安然无恙,0.111111111
安忍无亲,0.555555556
安如盘石,0.333333333
安如泰山,0.555555556
安身,0.49166637358327
安身乐业,0.555555556
安身立命,0.294256487080434
安身为乐,0.555555556
安神,0.555555556
安神定魄,0.555555556
安生,0.555555556
安生服业,0.555555556
安生乐业,0.555555556
安适,0.64623878016984
安睡,0.42777719116654
安泰,0.26944415108327
安恬,0.777777778
安土乐业,0.555555556
安土重迁,0.777777778
安外,0.555555556
安危相易,-0.111111111
安危与共,0.555555556
安慰,0.555555556
安慰安慰,-0.352643593
安稳,0.490964124116938
安息,0.555555556
安闲,0.111111111
安闲自得,0.333333333
安闲自在,0.555555556
安详,0.38055526208327
安祥,0.494022508647306
安歇,0.555555556
安心,0.664436378660442
安心定志,0.555555556
安心乐业,0.555555556
安心乐意,0.555555556
安心落意,0.555555556
安逸,0.38055526208327
安于,0.118886554456177
安于故俗，溺于旧闻,-0.555555556
安于现状,-0.333333333
安于一隅,0.555555556
安宅正路,0.555555556
安枕而卧,0.555555556
安之若命,-0.333333333
安之若素,0.111111111
安置,0.295286557507834
安坐待毙,-0.555555556
谙练,0.555555556
葊陋,-0.555555556
鞍不离马，甲不离身,0.555555556
鞍伤,-0.338983051
岸然,0.555555556
岸然道貌,-0.555555556
按部就班,-0.159367845910993
按规定,0.222187087794042
按荆斩棘,0.777777778
按期,0.555555556
按强助弱,0.777777778
按时,0.555555556
按图所骏,-0.333333333
按图索骥,-0.555555556
按照,0.0441635445529021
案犯,-0.555555556
案件,-0.033898305
案无留牍,0.555555556
暗暗称许,0.179922987199653
暗藏,-0.111111111
暗娼,-0.555555556
暗沉沉,-0.777777778
暗锤打人,-0.555555556
暗淡,-0.214348369
暗地,-0.345759124
暗地里,-0.333333333
暗地里破坏,-0.387341763
暗讽,-0.406779661
暗害,-0.333333333
暗箭,-1
暗箭难防,-0.555555556
暗箭伤人,-0.555555556
暗礁,-0.555555556
暗礁险滩,-0.777777778
暗里,-0.333333333
暗昧,-0.555555556
暗昧之事,-0.555555556
暗盘,-0.305084746
暗气暗恼,-0.555555556
暗弱,-0.777777778
暗弱无断,-0.555555556
暗杀,-0.4548022595
暗杀者,-0.381893288
暗事,-0.333333333
暗室不欺,0.555555556
暗室亏心,-0.555555556
暗送秋波,-0.555555556
暗算,-0.333333333
暗无天日,-0.777777778
暗香疏影,0.777777778
暗笑,-0.333333333
暗中来回寻觅,-0.183289492
暗助,0.0220817729278634
黯淡,-0.0957043015
黯然,-0.282027439
黯然伤神,-1
黯然神伤,-0.333333333
黯然失色,-0.361639651
黯然退出,-0.105229695
黯然销魂,-1
肮里肮脏,-0.555555556
肮脏,-0.6355932205
昂昂,0.333333333
昂昂自若,0.555555556
昂藏,0.777777778
昂藏七尺,0.777777778
昂奋,0.555555556
昂贵,-0.2551390395
昂贵地,-0.059964181
昂然,0.555555556
昂然直入,0.555555556
昂然自得,0.555555556
昂首阔步,0.307383781663665
昂首伸眉,0.555555556
昂首天外,-0.555555556
昂首挺胸,0.555555556
昂首望天,-0.555555556
昂头阔步,0.777777778
昂头天外,-0.555555556
昂头挺胸,0.555555556
昂霄耸壑,0.555555556
昂扬,0.555555556
盎然,0.333333333
凹痕,-0.322033898
凹凸不平,-0.111111111
凹下,-0.423728814
凹陷,-0.389830508
凹种,-0.169491525
遨翔自得,0.555555556
遨游,0.333333333
嗷嗷的,0.777777778
熬煎,-0.555555556
熬磨,-0.555555556
熬头儿,0.555555556
熬心,-0.333333333
鳌愤龙愁,-0.555555556
鳌里夺尊,0.555555556
鳌头独占,0.555555556
鳌掷鲸呿,0.555555556
鳌掷鲸吞,0.555555556
傲岸,-0.555555556
傲骨,0.555555556
傲骨嶙嶙,0.555555556
傲居,0.136914937298096
傲慢,-0.5007563465
傲慢不逊,-0.555555556
傲慢少礼,-0.555555556
傲慢无礼,-0.440646406
傲慢无礼的行为,-0.015931293
傲睨得志,-0.555555556
傲睨万物,-0.555555556
傲睨一切,-0.555555556
傲睨一世,-0.555555556
傲睨自若,-0.555555556
傲脾气,-0.06213487
傲气,-0.555555556
傲然,0.111111111
傲然屹立,0.555555556
傲人,0.0458624277890104
傲人佳绩,0.0212323313098092
傲世轻物,-0.555555556
傲视,0.0912417484520372
傲视国联,0.122480370671204
傲视轻物,-0.555555556
傲视群雄,0.091128272666163
傲视新秀,0.0248772579335636
傲霜斗雪,0.555555556
傲头傲脑,-0.555555556
傲物,-0.555555556
傲贤慢士,-0.555555556
傲雪凌霜,0.555555556
傲雪欺霜,0.555555556
傲一天和尚撞一天钟,-0.555555556
奥博,0.777777778
奥贿黑洞,-0.06779661
奥妙,-0.203389831
奥妙无穷,0.777777778
奥援,0.0441635445529021
奥援有灵,-0.555555556
奥旨,0.111111111
懊恨,-0.777777778
懊悔,-0.2858493035
懊恼,-0.555555556
懊脑,-0.033898305
懊丧,-0.191148776
懊糟,-0.333333333
八成是,0.00832588800577896
八窗玲珑,0.777777778
八错,0.333333333
八斗才,0.555555556
八斗之才,0.777777778
八方呼应,0.111111111
八公山上，草木皆兵,0.555555556
八股,-0.2937853105
八卦,-0.3879472695
八街九陌,0.555555556
八面光,-0.555555556
八面见光,-0.333333333
八面玲珑,0.333333333
八面驶风,0.555555556
八面受敌,0.555555556
八面威风,0.777777778
八面莹澈,0.555555556
八面圆通,-0.333333333
八面张罗,0.555555556
八婆,-0.333333333
八仙过海，各显神通,0.333333333
八珍玉食,0.555555556
八砖学士,-0.555555556
八字打开,0.333333333
巴巴,0.555555556
巴巴儿地,0.555555556
巴巴急急,0.555555556
巴巴结结,0.555555556
巴儿狗,-0.333333333
巴结,-0.464218456
巴人下里,-0.555555556
巴望,0.555555556
巴掌,-0.222034237
扒出,-0.013012475
扒高踩低,-0.555555556
扒皮,-0.333333333
扒窃,-0.777777778
扒手,-0.777777778
芭乐问题,-0.040203458
疤痕,-0.220338983
拔本塞原,0.777777778
拔本塞源,-0.333333333
拔丛出类,0.777777778
拔萃,0.777777778
拔萃出类,0.777777778
拔萃出群,0.555555556
拔刀相助,0.555555556
拔得头筹,0.0377008285668509
拔地倚天,0.555555556
拔份儿,0.555555556
拔尖,0.555555556
拔尖儿,0.555555556
